X		《 刑法 》 的 洩密罪 ，
X		《 服貿 風暴 三 大 疑義 ╱ 之 二 》
X		《 集會 遊行法 》 的 爭議 也 從未 停息 ；
X		《 監督 條例 》 與 《 服貿協議 》 原是 可以 同步 進行 的 工作 ，
X		「 人民 」 是 一 個 弔詭 的 概念 ，
X		「 反 服貿 」 示威 學生 發生 路線 之 爭 ，
X		「 反 服貿 」 群眾 連日 在 立法院 內外 開講 ，
X		「 反 服貿 」 學生 「 占領 立法院 」 行動 持續 進行 ，
X		「 反 服貿 」 學生 示威 演 至 如此 激烈 ，
PS	「 占領 國會 」 就 能 等同 於 「 領導 國家 」 嗎 ？	「 占領 國會 」 就 能 等同 於 「 領導 國家 」 嗎 ？
NCL	「 司法 鐵漢	「 司法 鐵漢 」 落得 如此 下場 ，
X		「 民進黨 和 台灣 社會 都 需要 往 前 跨出 一 步 ，
X		「 先 標舉 民主 ，
X	通例	「 行政 議簽 ╱ 事 後 審查 ╱ 包裹 表決 」 是 世界 民主 國家 簽訂 條約 的 通例 ，
X		「 你們 在 這裡 每 一 個 反 服貿 的 人 ，
X		「 我們 學生 已 實質 占領 了 國會 ，
LL	不攻自破	「 政治 集會 有 破壞 秩序 傾向 」 的 說法 不攻自破 。
HA	「 茉莉花 革命 」	「 茉莉花 革命 」 的 情境 與 充分 民主化 的 台灣 完全 不同 ，
X		「 荒唐 的 中年 老年人 鬧 下 了 亂子 ，
X		「 集會 遊行 」 在 多數 民眾 的 心 中 ，
PS	「 領導 國家 」 難道 不 需要 經過 公職 選舉 嗎 ？	「 領導 國家 」 難道 不 需要 經過 公職 選舉 嗎 ？
X		「 體現 民意 」 必須 經由 國會 的 多數 決 程序 ，
X		」 一般人 或許 認為 ，
PS	」 這 種 說法 不 是 很 有力 嗎 ？	」 這 種 說法 不 是 很 有力 嗎 ？
X		ＥＣＦＡ 也 改善 了 兩岸 的 互信 ，
X		ＥＣＦＡ 只是 一 個 空 的 架構 ，
X		一 、 占領 國會 絕無 正當性 。
LL	崩盤	一 、 民進黨 對 北京 當局 的 和解 政策 崩盤 ，
LL	底蘊 	一 、 呈現 了 台灣 社會 的 底蘊 ，
X		一 、 完善 ＥＣＦＡ 有助於 增加 兩岸 的 互信 與 善意 ，
LL	戲碼	一 次 一 次 上演 社會 對立 和 彼此 憎惡 的 戲碼 。
X		一 次 學生 運動 要 同時 投射 這麼多 目標 ，
X		一 是 召開 「 公民 憲政 會議 」 討論 當前 台灣 的 憲政 危機 ，
LL	「 政府 的 失 能 」	一 面 反映 的 是 「 政府 的 失 能 」 ，
X		一 個 月 前 ，
X		一 個 國家 的 深層 問題 ，
LL	虛矯	一 種 虛矯 的 「 官民 對峙 」 ，
X		一切 利弊 盡 已 公諸 社會 ，
LL	濫用	一旦 濫用 群眾 運動 ，
X		一般 民眾 對 此 案 的 利弊 有 更深 認識 ，
X		一般 烏克蘭 人民 平時 並 不 關心 政治 ，
X		一般 庶民 容或 可 說 仍 是 「 溝通 不夠 」 ，
X		一概 歸因於 兩岸 關係 。
LL	磨刀 霍霍	七 個 月 來 政治 和 司法 磨刀 霍霍 ，
X		乃至 多數 沉默 支持 者 的 體力 、 耐力 和 意志 等 因素 ，
X		乃至 兩岸 相關 的 協議 ，
X		乃至 輕易 走向 「 誓不兩立 」 的 結局 。
LL	危害	了解 它 對 台灣 產業 的 危害 。
X	省思	二 、 再度 啟發 了 對 國家 認同 的 省思 ；
X		二 、 服貿 協議 是 台灣 加入 ＴＰＰ 及 ＲＣＥＰ 的 熱身 工程 ，
X		二 、 國際 及 國內 對 台灣 民主 政治 的 評價 動搖 ，
LL	風暴	二 、 這 場 風暴 以 大學生 為 主體 ，
X		二 者 相較 ，
X		二 是 「 兩岸 協議 監督 條例 」 必須 先 完成 立法 再 審 服貿 ，
X		二 是 高估 了 社會 對 「 正義 」 的 追求 。
X		二○○八年 民進黨 執政 八 年 下台 之 時 ，
X		人民 表達 不同 意見 ，
LL	惶恐 焦慮	人民 惶恐 焦慮 ，
X		人民 間 的 意見 差異 幾乎 無法 呈現 。
X		十六 場 公聽會 、 上百 場 說明會 ，
DT	又 在 維護 什麼 樣 的 司法 正義 ？	又 在 維護 什麼 樣 的 司法 正義 ？
DT	?	又 如何 贏取 社會 民心 ？
DT	又 如何 贏得 民眾 認同 ？	又 如何 贏得 民眾 認同 ？
X		又 宣稱 無 限期 抗爭 到底 。
LL	大 爆發	又 是 這 種 對立 情緒 的 再一次 大 爆發 ，
X		又 要 經濟 上 「 倚 俄 」 ，
PS	又 豈 對 台灣 有利 ？	又 豈 對 台灣 有利 ？
X		又 毫無 解決 的 對策 ，
X		又 須 以 增進 兩岸 的 互信 為 憑藉 ，
X	過度	又 過度 醜化 對方 ，
X		又 過度 醜化 對方 ，
X		三 、 引導 思考 台灣 在 全球化 競爭 中 的 處境 ；
LL	蒙上 陰影	三 、 兩岸 關係 蒙上 陰影 ，
X		三 、 兩岸 關係 蒙上 陰影 ，
X		三三○ 凱道 示威 昨夜 和平 落幕 ，
LL	上演	上演 的 都 是 立法院 一貫 的 攻防爛戲 ，
LL	攻防爛戲	上演 的 都 是 立法院 一貫 的 攻防爛戲 ，
X		也 不 是 學生 在 專業 上 所 能 參與 ，
X		也 不 願 相信 政府 說法 。
BW	沒有 任何 國家 能 容許	也 不論 是 「 許可制 」 或 「 報備 制 」 ，
X		也 引發 了 部分 大學生 所 發起 的 「 野 草莓 」 運動 ，
X		也 未 聞 遊行 民眾 占據 政府 機關 者 。
X		也 因此 ，
X		也 因此 ，
X		也 因此 ，
X		也 因此 ，
X		也 存在 很 不同 的 想法 。
X		也 並 未 上路 ，
X		也 所以 有 國會 的 代議 政治 ，
X		也 是 他 必須 調整 的 領導 思維 。
LL	悲劇	也 是 台灣 的 悲劇 。
X		也 是 因為 臨時 政府 毫無 因應 能力 ，
LL	畫蛇添足	也 是 畫蛇添足 之 舉 。
X		也 是 程序 跳躍 。
LL	誤解	也 是 對 民主 體制 的 誤解 。
X		也 高度 收縮 了 政黨 對 違規 黨員 的 制裁權 ，
X		也 基於 社會 一向 對 大學生 的 愛護 ，
LL	排擠	也 排擠 了 其他 人 的 聲音 。
X		也 毫不 尊重 其他 民眾 。
X		也 就 缺少 一 種 「 民粹 想像 」 。
X	也 就是 要 完成 服貿 以 完善 ＥＣＦＡ 體系 。	也 就是 要 完成 服貿 以 完善 ＥＣＦＡ 體系 。
X		也 勢必 導致 陳義 過 高 而 失去 比例 原則 。
X		也 摸黑 進入 立法院 拔下 國旗 ，
X		也 應 作出 更 清楚 的 規定 。
X		也 擺 脫不了 經濟 上 倚賴 俄國 的 事實 。
X		也 難怪 學生 怒 而 攻擊 行政院 。
X		也 讓 原本 看似 平和 的 抗爭 活動 ，
X		也就是說 ，
